filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region,region coordinates ,region latitude,region longitude,subregion,subregion coordinates ,subregion latitude,subregion longitude,title,url,varietal,vintage,winery
winemag 2401 to 3200,4535,81955,13,White,France,"Made by major Chablis producer Jean-Marc Brocard, this wine is ripe, soft and attractively fruity. It has crisp acidity along with rich yellow fruits and a touch of minerality. The wine comes from a blend of different premier cru vineyards. Delicious and refreshing, it is ready to drink now.",Signature Series Premier Cru,15,90,0.17,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Kirkland Signature 2014 Signature Series Premier Cru  (Chablis),https://www.winemag.com/buying-guide/kirkland-signature-2014-signature-series-premier-cru-chablis/,Chardonnay,2014,Kirkland Signature
winemag 801 to 1600,3212,205255,13,White,France,"Produced by major Chablis producer Jean-Marc Brocard for the Kirkland label, this wine a blend from different premier cru vineyards. It has plenty of richness to give the wine weight while never losing sight of a steely edge and acidity. It is fruity, crisp and also ripe. Drink now.",Premier Cru,15,90,0.17,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,90pointsKirkland Signature 2015 Premier Cru  (Chablis)Best Buy,https://www.winemag.com/buying-guide/kirkland-signature-2015-premier-cru-chablis/,Chardonnay,2015,Kirkland Signature
winemag 8801 to 9600,11522,228503,14,White,France,"This is a terrific Chardonnay from Limoux, an area more typically known for its Blanquette (which uses the Mauzac grape) but certainly not limited to it. It's a ripe and rich wine, loaded with aromas of red apple, nectarine pit, and almond milk. The mouth shows a bit more vibrancy with flavors of lime essence backed by honeydew. Round and fantastically balanced, with a long finish kissed by toasted oak.",Cuvée de l'Odyssée,15,90,0.17,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Limoux,"43.0532890, 2.2181420",43.053289,2.218142,Château Rives-Blanques 2005 Cuvée de l'Odyssée Chardonnay (Limoux),https://www.winemag.com/buying-guide/chateau-rives-blanques-2005-cuvee-lodyssee-chardonnay-limoux/,Chardonnay,2005,Château Rives-Blanques
winemag 4801 to 5600,1450,125343,13,White,France,"This wine is so well balanced. It has all the right fruitiness that's filled out by a rich texture, apricot acidity and some spice. Wait a few months to really enjoy this ripe and full-bodied wine.",,16,90,0.18,Beaujolais,"46.5827512, 4.4866710",46.5827512,4.486671,Beaujolais-Villages,"46.5827512, 4.4866710",46.5827512,4.486671,Lucien Lardy 2013  Beaujolais-Villages,https://www.winemag.com/buying-guide/lucien-lardy-2013-chardonnay-villages/,Chardonnay,2013,Lucien Lardy
winemag 4001 to 4800,216,108629,13,White,France,"A crisp wine, this is packed with acidity and fruitiness. It is tangy, tight, full of attractive acidity as well as lively citrus and white fruits. It is ready to drink.",,16,90,0.18,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Saint-Véran,"46.3068839, 4.8287310",46.3068839,4.828731,Albert Bichot 2013  Saint-Véran,https://www.winemag.com/buying-guide/albert-bichot-2013-chardonnay-saint-veran/,Chardonnay,2013,Albert Bichot
winemag 11201 to 12000,12364,43313,,White,France,"Numbered bottles, embossed grapes on the label and the inscription in homage to Robert Skalli's father, Francis, all give this wine an instantly luxurious feel. The nose is dominated by smooth, polished new wood. Aromas of smooth, ripe fruit and sophisticated wood flavors. Full-bodied, ripe wine, with upfront, modern fruit flavors. -R.V.",Edition Limitee,17,90,0.19,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Les Vins Skalli 2000 Edition Limitee Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/vins-skalli-2000-edition-limitee-chardonnay-vin-pays-doc/,Chardonnay,2000,Les Vins Skalli
winemag 11201 to 12000,6926,37875,,White,France,"Made by a vigneron, which means a guy named Lavantureux actually grew the grapes and made the wine himself. It also means, at least in theory, that it received a lot of TLC. Not cheap, but an excellent value among French Chardonnay. It offers nothing but the purest of fruit: pineapple, mango, apple and then a smooth slide toward a sleek finish. Seek the vintage if possible. Yet another winner courtesy of veteran importer Kermit Lynch.",,18,90,0.2,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Petit Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Roland Lavantureux 2002  Petit Chablis,https://www.winemag.com/buying-guide/roland-lavantureux-2002-chardonnay-petit-chablis/,Chardonnay,2002,Roland Lavantureux
winemag 4801 to 5600,4713,128606,13.5,White,France,"Full of ripe, tropical fruit flavor, the wine is already generous. Apricot and mango come through the fresh acidity, giving both richness and a more textured edge. It is ready to drink, but by 2015 will be even better.",Tradition,18,90,0.2,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Saint-Véran,"46.3068839, 4.8287310",46.3068839,4.828731,Collovray et Terrier 2012 Tradition  (Saint-Véran),https://www.winemag.com/buying-guide/collovray-terrier-2012-tradition-chardonnay-saint-veran/,Chardonnay,2012,Collovray et Terrier
winemag 8001 to 8800,4559,190964,,White,France,"Rich wine, full in the mouth, bringing wood and ripe apple flavors well together. Delicious.",,18,90,0.2,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Viré-Clessé,"46.4489132, 4.8490114",46.4489132,4.8490114,Manuel Seguin 2008  Viré-Clessé,https://www.winemag.com/buying-guide/manuel-seguin-2008-chardonnay-vire-clesse/,Chardonnay,2008,Manuel Seguin
winemag 2401 to 3200,8024,85444,13,White,France,"This Chardonnay is a world-class wine available at a fraction of the cost of other excellent French examples. It boasts soft wood accents to the ripe yellow apple, pear and spiced orange tones, with zippy acidity and a mineral streak that lend freshness to the medium-weight palate. It's a layered, complex wine that will evolve well through 2022.",Odyssée,18,90,0.2,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Limoux,"43.0532890, 2.2181420",43.053289,2.218142,Château Rives-Blanques 2015 Odyssée Chardonnay (Limoux),https://www.winemag.com/buying-guide/chateau-rives-blanques-2015-odyssee-chardonnay-limoux/,Chardonnay,2015,Château Rives-Blanques
winemag 1 to 800,4593,4593,13.5,White,France,"This is a full-bodied wine, packed with ripe fruits with a strong mineral edge. It has an intense tang from sweet orange zest that gives both texture and ripeness to the wine. Drink now.",Vers Chânes,19,90,0.21,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Fuissé,"46.2803540, 4.7425890",46.280354,4.742589,Yves Giroux 2016 Vers Chânes  (Mâcon-Fuissé),https://www.winemag.com/buying-guide/yves-giroux-2016-vers-chanes-macon-fuisse/,Chardonnay,2016,Yves Giroux
winemag 1601 to 2400,10567,72517,13,White,France,"This single-vineyard wine is rich and crisply fruity. It has the bright, tight texture of the vintage, giving a tense character while retaining the lush, poised fruit of the vintage. It's delicious now and ready to drink.",Les Plantés,19,90,0.21,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Saint-Véran,"46.3068839, 4.8287310",46.3068839,4.828731,Vignerons des Terres Secrétes 2014 Les Plantés  (Saint-Véran),https://www.winemag.com/buying-guide/vignerons-des-terres-secretes-2014-les-plantes-saint-veran/,Chardonnay,2014,Vignerons des Terres Secrétes
winemag 1601 to 2400,10587,72537,13,White,France,"Now perfectly ready to drink, this wine from vines close to Pouilly-Fuissé is ripe with yellow fruit, juicy acidity and a smooth texture. It has plenty of minerality to keep it bright and lively. Drink now.",Les Cras,19,90,0.21,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Saint-Véran,"46.3068839, 4.8287310",46.3068839,4.828731,Vignerons des Terres Secrétes 2013 Les Cras  (Saint-Véran),https://www.winemag.com/buying-guide/vignerons-des-terres-secretes-2013-les-cras-saint-veran/,Chardonnay,2013,Vignerons des Terres Secrétes
winemag 3201 to 4000,15502,108382,13,White,France,"Ripe and full in the mouth, this generous wine has yellow fruits and a warm, rich texture. Flavors of freshness flow right through the wine. Balanced and smooth at the end, it is ready to drink.",,20,90,0.22,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Davayé,"46.3020080, 4.7441970",46.302008,4.744197,Domaine de la Croix Senaillet 2013  Mâcon-Davayé,https://www.winemag.com/buying-guide/domaine-croix-senaillet-2013-chardonnay-macon-davaye/,Chardonnay,2013,Domaine de la Croix Senaillet
winemag 2401 to 3200,4632,82052,13,White,France,The wine is from a tiny parcel (around an acre) of vines that are over 30-years-old. It is concentrated both with fine fruit and sweet acidity. Yellow fruits are cut with lime and green plums. A touch of vanilla gives the wine a full final aftertaste. Drink from 2017.,La Grande Bruyére,20,90,0.22,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Fuissé,"46.2803540, 4.7425890",46.280354,4.742589,Domaine Fabrice Larochette 2015 La Grande Bruyére  (Mâcon-Fuissé),https://www.winemag.com/buying-guide/domaine-fabrice-larochette-2015-la-grande-bruyere-macon-fuisse/,Chardonnay,2015,Domaine Fabrice Larochette
winemag 4001 to 4800,217,108630,13,White,France,"Smooth and lightly toasty, this is a well-balanced, ripe wine. Attractive acidity gently supports the yellow fruits, rich texture and overall generous feel. Drink this delicious, full-bodied wine now.",,20,90,0.22,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Fuissé,"46.2803540, 4.7425890",46.280354,4.742589,Jean-Paul Paquet 2013  Mâcon-Fuissé,https://www.winemag.com/buying-guide/jean-paul-paquet-2013-chardonnay-macon-fuisse/,Chardonnay,2013,Jean-Paul Paquet
winemag 11201 to 12000,561,31510,,White,France,"Big and rich, this wine just oozes rich, creamy caramel flavors. The fruit is superripe but still with good acidity and tastes of white peaches, toast and cinnamon. Give this wine another year and it will be delicious. Imported by Cannon Wines Limited.",,20,90,0.22,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Marsannay,"47.2703020, 4.9886670",47.270302,4.988667,Château de Marsannay 2003  Marsannay,https://www.winemag.com/buying-guide/chateau-marsannay-2003-chardonnay-marsannay/,Chardonnay,2003,Château de Marsannay
winemag 1601 to 2400,10566,72516,13,White,France,"Produced from old, low-yielding vines, this delicious wine balances crisp acidity with intense white fruit. It's poised and stylish, with a cool character expressed in its acidity and lemon zest-like aftertaste. Drink now.",Les Sentinelles,20,90,0.22,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Saint-Véran,"46.3068839, 4.8287310",46.3068839,4.828731,Vignerons des Terres Secrétes 2014 Les Sentinelles  (Saint-Véran),https://www.winemag.com/buying-guide/vignerons-des-terres-secretes-2014-les-sentinelles-saint-veran/,Chardonnay,2014,Vignerons des Terres Secrétes
winemag 4001 to 4800,170,108583,13,White,France,"Smooth, ripe and creamy, this wine is just right to drink now. Rich apricot and pear flavors give a pure line of fresh acidity as well as a full, round character. There is a delicious tang of orange zest at the end.",Au Brûlé,20,90,0.22,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Saint-Véran,"46.3068839, 4.8287310",46.3068839,4.828731,Domaine Sangouard-Guyot 2013 Au Brûlé  (Saint-Véran),https://www.winemag.com/buying-guide/domaine-sangouard-guyot-2013-au-brule-chardonnay-saint-veran/,Chardonnay,2013,Domaine Sangouard-Guyot
winemag 6401 to 7200,10189,165326,14,White,France,"A stunning white with superb balance and layer upon layer of aromas and flavors. An expressive white-flower note accents the solid backbone of ripe red apple and firm nectarine fruit. The medium-weight palate is slightly creamy but not overdone, with hints of toast, sweet spice and almond-flavored nuttiness that unfold on the finish.",Odyssée,20,90,0.22,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Limoux,"43.0532890, 2.2181420",43.053289,2.218142,Château Rives-Blanques 2010 Odyssée Chardonnay (Limoux),https://www.winemag.com/buying-guide/chateau-rives-blanques-2010-odyssee-chardonnay-limoux/,Chardonnay,2010,Château Rives-Blanques
