filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region,region coordinates ,region latitude,region longitude,subregion,subregion coordinates ,subregion latitude,subregion longitude,title,url,varietal,vintage,winery
winemag 11201 to 12000,6511,37460,,White,France,"Smooth and soft, this wine has a touch of vanilla and apples and cream flavors. At the back, a freshness of acidity stops it being too rich or fat. It is well-made, well balanced and slips down easily",,6,85,0.07,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Fortant 2003 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/fortant-2003-chardonnay-vin-pays-doc/,Chardonnay,2003,Fortant
winemag 12001 to 12800,4761,51452,13,White,France,This Chardonnay starts with tropical notes and butterscotch on the nose. The flavors blend creamy coconut and banana with a hint of toast. This is a good quaffing wine at a great price.,,7,85,0.08,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Barton & Guestier 2000 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/barton-guestier-2000-chardonnay-vin-pays-doc/,Chardonnay,2000,Barton & Guestier
winemag 12001 to 12800,4809,51500,,White,France,,Vichon Mediterranean Chardonnay,7,85,0.08,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Sieur d'Arques 2001 Vichon Mediterranean Chardonnay Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/sieur-darques-2001-vichon-mediterranean-chardonnay-vin-pays-doc/,Chardonnay,2001,Sieur d'Arques
winemag 12001 to 12800,7745,54436,12.5,White,France,"An unusual but pleasant blend of creamy-mallow and lime notes on the nose segues into similar light, creamy and citrusy notes on the palate and on the finish. Medium-bodied and round in the mouth.",,8,85,0.09,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Languedoc,"43.5912356, 3.2583626",43.5912356,3.2583626,Domaine de L'Olivier 1999 Chardonnay (Languedoc),https://www.winemag.com/buying-guide/domaine-lolivier-1999-chardonnay-languedoc/,Chardonnay,1999,Domaine de L'Olivier
winemag 6401 to 7200,11007,166144,13,White,France,"There's a nice yellow-flower character to the red-apple and nectarine aromas. The medium-weight mouth turns a bit sweeter than the nose suggests, with ripe tropical-fruit flavors that continues through to the finish. Drink now.",Réserve St. Martin,8,85,0.09,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Pays d'Oc,"43.5711623, 3.8767016",43.5711623,3.8767016,Les Vignerons de la Méditerranée 2010 Réserve St. Martin Chardonnay (Pays d'Oc),https://www.winemag.com/buying-guide/vignerons-mediterranee-2010-reserve-st-martin-chardonnay-pays-doc/,Chardonnay,2010,Les Vignerons de la Méditerranée
winemag 10401 to 11200,4131,19393,,White,France,"There's some good, fresh citrus character here, a pleasant, light and easy style of wine, hinting at wood with vanilla flavors. Fresh acidity gives the finish a lift.",Chardonnay,8,85,0.09,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Patriarche Pére et Fils 2005 Chardonnay Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/patriarche-pere-fils-2005-chardonnay-vin-pays-doc/,Chardonnay,2005,Patriarche Pére et Fils
winemag 11201 to 12000,6487,37436,,White,France,"With its brighly colored bottle, this sure stands out on the shelf. The fruit is soft, lively with a touch of oak to give it extra complexity. Tropical flavors complete the package.",Reserve,8,85,0.09,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Georges Duboeuf 2002 Reserve Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/georges-duboeuf-2002-reserve-chardonnay-vin-pays-doc/,Chardonnay,2002,Georges Duboeuf
winemag 11201 to 12000,12042,42991,,White,France,"Slightly Muscatty, a light spice note accents apple and pear fruit aromas and flavors. Medium-weight, crisp finish, a solid bargain Chardonnay.",,8,85,0.09,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Michel Laroche 2002 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/michel-laroche-2002-chardonnay-vin-pays-doc/,Chardonnay,2002,Michel Laroche
winemag 12001 to 12800,7691,54382,12.5,White,France,"Light oak-cream flavors plus a little nuttiness dominate the palate; less oak, plus dusty sour-apple flavors linger on the bouquet. Finishes with terroir-rific chalk-mineral notes.",Founder's Reserve,8,85,0.09,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,J.P. Chenet 2000 Founder's Reserve Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/jp-chenet-2000-founders-reserve-chardonnay-vin-pays-doc/,Chardonnay,2000,J.P. Chenet
winemag 7201 to 8000,12615,183386,13,White,France,"The B&G line doesn't disappoint in value, and here you get a delicious Chard for under $10. Vibrant tropical fruit, melon, and peach fill the round mouth, and though the finish is short it is also clean. Drink now.",Reserve,8,85,0.09,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Barton & Guestier 2010 Reserve Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/barton-guestier-2010-reserve-chardonnay-vin-pays-doc/,Chardonnay,2010,Barton & Guestier
winemag 11201 to 12000,6495,37444,,White,France,"Subtle in peach and herb flavors, with bright acidity, this wine is very dry. Finishes with a stony minerality.",Tradition,9,85,0.11,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Villages,"46.3068839, 4.8287310",46.3068839,4.828731,Barton & Guestier 2002 Tradition  (Mâcon-Villages),https://www.winemag.com/buying-guide/barton-guestier-2002-tradition-chardonnay-macon-villages/,Chardonnay,2002,Barton & Guestier
